pop_size,geracoes,elite_rate,mutation_rate,melhor_solucao,melhor_custo,tempo_execucao_s,geracao_melhor_custo
100,100,0.2,0.1,[5 4 3 7 8 9 0 2 1 6],7034.0,0.5133469104766846,48
100,100,0.2,0.1,[5 2 9 8 6 3 7 4 0 1],7070.0,0.6328153610229492,11
100,100,0.2,0.1,[0 6 4 2 9 3 1 8 5 7],4889.0,0.5884146690368652,44
100,100,0.2,0.1,[0 6 4 2 9 3 1 8 5 7],4889.0,0.6360635757446289,63
100,100,0.2,0.1,[9 2 1 0 5 8 7 3 4 6],7042.0,0.5024919509887695,30
100,100,0.2,0.1,[9 7 0 4 3 2 5 1 8 6],7003.0,0.6239783763885498,43
100,100,0.2,0.1,[3 6 2 1 8 7 5 9 0 4],4371.0,0.49842023849487305,20
100,100,0.2,0.1,[7 4 3 1 8 9 5 6 2 0],4207.0,0.6016941070556641,31
100,100,0.2,0.1,[3 8 4 2 0 7 6 9 1 5],7731.0,0.4844675064086914,20
100,100,0.2,0.1,[3 8 4 2 0 7 6 9 1 5],7731.0,0.6140055656433105,24
100,100,0.2,0.1,[1 6 9 3 0 2 5 4 7 8],6134.0,0.49262070655822754,50
100,100,0.2,0.1,[8 2 6 5 3 7 0 1 4 9],6217.0,0.6057384014129639,18
100,100,0.2,0.1,[1 3 7 5 4 6 9 8 2 0],4926.0,0.49288082122802734,6
100,100,0.2,0.1,[5 7 6 3 4 9 1 8 2 0],5026.0,0.6061789989471436,83
100,100,0.2,0.1,[3 1 0 6 8 5 2 4 9 7],5952.0,0.49276018142700195,11
100,100,0.2,0.1,[3 1 8 6 2 4 9 5 0 7],5817.0,0.5928299427032471,27
100,100,0.2,0.1,[2 0 3 8 1 7 4 6 5 9],6045.0,0.47571778297424316,25
100,100,0.2,0.1,[1 4 9 6 3 2 8 7 0 5],6110.0,0.6205320358276367,8
100,100,0.2,0.1,[0 7 3 5 9 6 4 2 1 8],5396.0,0.5009782314300537,25
100,100,0.2,0.1,[7 2 0 5 9 8 4 1 6 3],5430.0,0.6592001914978027,11
100,100,0.2,0.1,[1 3 9 5 6 4 8 7 0 2],4807.0,0.48535919189453125,12
100,100,0.2,0.1,[9 7 6 1 8 5 3 4 0 2],4808.0,0.6015818119049072,13
100,100,0.2,0.1,[5 0 3 7 6 1 9 8 2 4],5519.0,0.5026082992553711,29
100,100,0.2,0.1,[5 0 3 7 6 1 9 8 2 4],5519.0,0.5873153209686279,61
100,100,0.2,0.1,[6 9 3 5 1 2 0 7 8 4],5077.0,0.4762880802154541,5
100,100,0.2,0.1,[2 7 0 3 8 6 9 4 1 5],5093.0,0.589771032333374,3
100,100,0.2,0.1,[7 3 1 6 0 4 5 2 9 8],4540.0,0.49737095832824707,32
100,100,0.2,0.1,[3 8 1 2 6 4 5 9 7 0],4453.0,0.5883748531341553,35
100,100,0.2,0.1,[5 9 4 0 2 6 8 3 1 7],6312.0,0.4752979278564453,30
100,100,0.2,0.1,[5 9 4 0 2 6 8 3 1 7],6312.0,0.6054997444152832,47
100,100,0.2,0.1,[2 1 9 0 7 3 4 8 6 5],6915.0,0.47793078422546387,34
100,100,0.2,0.1,[2 4 9 0 1 7 8 5 3 6],6806.0,0.6453771591186523,65
100,100,0.2,0.1,[8 0 6 1 5 4 2 9 7 3],5936.0,0.5001223087310791,64
100,100,0.2,0.1,[4 9 6 2 7 1 0 8 5 3],5796.0,0.6197168827056885,70
100,100,0.2,0.1,[1 6 9 7 0 3 5 8 4 2],5498.0,0.5033853054046631,19
100,100,0.2,0.1,[7 6 9 8 0 1 5 3 4 2],5446.0,0.6157877445220947,35
100,100,0.2,0.1,[9 3 0 8 6 4 5 2 7 1],4528.0,0.5070106983184814,41
100,100,0.2,0.1,[0 3 9 5 2 4 8 6 1 7],4510.0,0.6203484535217285,23
100,100,0.2,0.1,[2 9 6 1 0 4 7 3 8 5],6461.0,0.48767900466918945,15
100,100,0.2,0.1,[1 8 5 9 0 3 7 6 2 4],6450.0,0.6146707534790039,52
