n,pop_size,geracoes,elite_rate,mutation_rate,melhor_solucao,melhor_custo,tempo_execucao_s,geracao_melhor_custo,configuracao,elitism,selection,crossover,mutation
10,100,100,0.2,0.1,[3 1 7 0 8 4 5 6 9 2],7372.0,2.61948299407959,25,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,cx,insertion
10,100,100,0.2,0.1,[2 1 7 9 8 4 5 0 3 6],7104.0,3.0403506755828857,82,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,mpx,insertion
10,100,100,0.2,0.1,[5 8 6 9 3 0 1 4 7 2],5577.0,2.5406343936920166,11,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,cx,insertion
10,100,100,0.2,0.1,[7 3 1 9 5 0 8 4 6 2],5515.0,3.2248804569244385,16,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,mpx,insertion
10,100,100,0.2,0.1,[5 3 7 1 0 6 8 9 2 4],5736.0,2.6521048545837402,12,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,cx,insertion
10,100,100,0.2,0.1,[0 4 1 7 5 8 9 3 6 2],5631.0,3.1558191776275635,19,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,mpx,insertion
10,100,100,0.2,0.1,[3 6 0 5 9 1 7 8 2 4],5472.0,2.7393593788146973,20,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,cx,insertion
10,100,100,0.2,0.1,[0 6 3 5 9 2 7 8 1 4],5427.0,3.049238920211792,98,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,mpx,insertion
10,100,100,0.2,0.1,[9 6 0 5 3 2 1 8 4 7],6248.0,2.5631515979766846,90,"{'selection': 'roulette', 'crossover': 'cx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,cx,insertion
10,100,100,0.2,0.1,[4 8 6 0 7 5 1 2 9 3],6297.0,3.0637426376342773,53,"{'selection': 'roulette', 'crossover': 'mpx', 'elitism': 'simple', 'mutation': 'insertion'}",simple,roulette,mpx,insertion
