n,pop_size,geracoes,elite_rate,mutation_rate,melhor_solucao,melhor_custo,tempo_execucao_s,geracao_melhor_custo,configuracao,elitism,selection,crossover,mutation
10,100,100,0.2,0.1,[1 0 4 2 5 6 3 8 9 7],5853.0,0.5269811153411865,16,"{'selection': 'tournament', 'crossover': 'mpx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,mpx,swap
10,100,100,0.2,0.1,[8 6 1 9 2 0 3 4 5 7],5916.0,0.5713522434234619,13,"{'selection': 'tournament', 'crossover': 'mpx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,tournament,mpx,insertion
10,100,100,0.2,0.1,[4 7 1 3 6 8 9 0 5 2],6393.0,0.5402672290802002,34,"{'selection': 'tournament', 'crossover': 'mpx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,mpx,swap
10,100,100,0.2,0.1,[5 2 8 7 0 4 1 6 9 3],6574.0,0.524254560470581,5,"{'selection': 'tournament', 'crossover': 'mpx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,tournament,mpx,insertion
10,100,100,0.2,0.1,[4 9 5 2 0 6 8 3 7 1],5430.0,0.5345947742462158,27,"{'selection': 'tournament', 'crossover': 'mpx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,mpx,swap
10,100,100,0.2,0.1,[2 4 1 0 6 5 8 9 7 3],5529.0,0.5274887084960938,8,"{'selection': 'tournament', 'crossover': 'mpx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,tournament,mpx,insertion
10,100,100,0.2,0.1,[4 9 3 6 0 8 5 7 2 1],4362.0,0.5542197227478027,6,"{'selection': 'tournament', 'crossover': 'mpx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,mpx,swap
10,100,100,0.2,0.1,[7 6 1 5 4 8 0 9 2 3],4376.0,0.530728816986084,8,"{'selection': 'tournament', 'crossover': 'mpx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,tournament,mpx,insertion
10,100,100,0.2,0.1,[5 0 6 9 1 7 3 2 4 8],5049.0,0.5208847522735596,26,"{'selection': 'tournament', 'crossover': 'mpx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,mpx,swap
10,100,100,0.2,0.1,[5 9 6 0 1 7 3 2 4 8],5097.0,0.5228989124298096,5,"{'selection': 'tournament', 'crossover': 'mpx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,tournament,mpx,insertion
10,100,100,0.2,0.1,[2 6 8 1 9 7 0 3 5 4],6334.0,0.5134515762329102,20,"{'selection': 'tournament', 'crossover': 'mpx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,mpx,swap
10,100,100,0.2,0.1,[6 5 7 4 0 3 8 2 1 9],6624.0,0.5265383720397949,7,"{'selection': 'tournament', 'crossover': 'mpx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,tournament,mpx,insertion
10,100,100,0.2,0.1,[8 5 7 4 0 1 6 9 3 2],5996.0,0.5193741321563721,6,"{'selection': 'tournament', 'crossover': 'mpx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,mpx,swap
10,100,100,0.2,0.1,[8 5 9 4 3 1 6 2 7 0],6122.0,0.5536460876464844,7,"{'selection': 'tournament', 'crossover': 'mpx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,tournament,mpx,insertion
