pop_size,geracoes,elite_rate,mutation_rate,melhor_solucao,melhor_custo,tempo_execucao_s,geracao_melhor_custo,configuracao,elitism,selection,crossover,mutation
100,100,0.2,0.1,[6 3 2 8 9 0 5 7 4 1],6715.0,1.629361867904663,13,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,cx,swap
100,100,0.2,0.1,[0 9 6 4 2 7 1 8 3 5],6756.0,1.5478053092956543,53,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,tournament,cx,insertion
100,100,0.2,0.1,[7 6 3 8 4 9 2 0 1 5],6847.0,1.5395023822784424,17,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,cx,swap
100,100,0.2,0.1,[7 6 3 8 4 9 2 0 1 5],6847.0,1.5704729557037354,76,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,tournament,cx,insertion
100,100,0.2,0.1,[2 3 6 5 1 4 0 7 9 8],6217.0,1.5220296382904053,36,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,cx,swap
100,100,0.2,0.1,[6 5 2 3 7 9 8 1 4 0],6409.0,1.536381721496582,6,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,tournament,cx,insertion
100,100,0.2,0.1,[0 1 8 7 2 4 5 6 3 9],6044.0,1.480837345123291,27,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,cx,swap
100,100,0.2,0.1,[6 7 8 5 2 9 3 0 1 4],6113.0,1.8424766063690186,18,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,tournament,cx,insertion
100,100,0.2,0.1,[0 5 2 3 4 8 7 1 6 9],8592.0,1.6451005935668945,12,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'swap'}",tournament,tournament,cx,swap
100,100,0.2,0.1,[3 6 8 9 4 7 2 0 5 1],8618.0,1.5955402851104736,0,"{'selection': 'tournament', 'crossover': 'cx', 'elitism': 'tournament', 'mutation': 'insertion'}",tournament,tournament,cx,insertion
