pop_size,geracoes,elite_rate,mutation_rate,melhor_solucao,melhor_custo,tempo_execucao_s
50,50,1,0.05,[8 4 7 2 5 6 0 3 9 1],7440.0,0.04736208915710449
50,50,1,0.1,[3 1 5 7 6 2 8 9 0 4],7457.0,0.019526004791259766
50,50,1,0.15,[2 0 8 7 1 6 3 4 9 5],7595.0,0.021085500717163086
50,50,2,0.05,[9 0 4 6 1 5 3 8 2 7],7633.0,0.020598888397216797
50,50,2,0.1,[4 7 2 1 5 0 9 6 3 8],7486.0,0.015940427780151367
50,50,2,0.15,[4 9 6 3 7 8 5 2 0 1],7206.0,0.018770456314086914
50,50,4,0.05,[9 1 0 6 4 5 8 3 7 2],7362.0,0.02078104019165039
50,50,4,0.1,[3 8 5 1 7 9 6 2 0 4],7645.0,0.019556283950805664
50,50,4,0.15,[1 7 8 9 0 5 3 4 6 2],7227.0,0.019486188888549805
50,100,1,0.05,[7 1 2 4 9 0 6 5 8 3],7605.0,0.0391230583190918
50,100,1,0.1,[9 7 0 8 6 1 4 2 5 3],7706.0,0.030199050903320312
50,100,1,0.15,[6 7 2 3 0 8 9 5 4 1],7622.0,0.03548693656921387
50,100,2,0.05,[4 5 7 0 2 6 1 9 8 3],7530.0,0.03592491149902344
50,100,2,0.1,[4 2 7 6 1 0 5 9 8 3],7552.0,0.03435659408569336
50,100,2,0.15,[1 3 6 9 0 2 8 4 5 7],7401.0,0.029676437377929688
50,100,4,0.05,[9 7 5 1 4 0 6 2 8 3],7558.0,0.0353541374206543
50,100,4,0.1,[3 5 2 8 1 4 7 9 6 0],7754.0,0.03711557388305664
50,100,4,0.15,[3 8 0 5 6 1 4 7 2 9],7475.0,0.0323796272277832
50,200,1,0.05,[3 9 2 5 6 7 8 1 4 0],7611.0,0.06517148017883301
50,200,1,0.1,[1 2 7 6 0 4 5 9 8 3],7205.0,0.058058738708496094
50,200,1,0.15,[8 2 5 0 4 7 6 9 1 3],7601.0,0.055800676345825195
50,200,2,0.05,[2 1 0 9 6 8 4 3 7 5],7391.0,0.06255030632019043
50,200,2,0.1,[1 6 7 8 5 0 2 9 3 4],7245.0,0.05732250213623047
50,200,2,0.15,[6 4 1 9 5 0 8 3 7 2],7658.0,0.06523251533508301
