pop_size,geracoes,elite_rate,mutation_rate,melhor_solucao,melhor_custo,tempo_execucao_s,geracao_melhor_custo
50,50,0.05,0.05,[3 8 9 0 1 2 4 6 5 7],5912.0,0.4564356803894043,8
50,50,0.05,0.1,[1 2 3 0 6 9 8 5 4 7],5912.0,0.46091556549072266,27
50,50,0.05,0.15,[3 6 7 2 1 0 4 8 5 9],5815.0,0.44011831283569336,23
50,50,0.1,0.05,[3 6 7 9 1 0 4 8 5 2],5819.0,0.4167821407318115,16
50,50,0.1,0.1,[2 1 9 3 7 8 5 6 4 0],5857.0,0.4135439395904541,29
50,50,0.1,0.15,[0 2 9 7 1 3 8 6 5 4],5955.0,0.4331786632537842,8
50,50,0.15,0.05,[8 1 0 3 7 9 5 2 4 6],5847.0,0.41692161560058594,36
50,50,0.15,0.1,[3 7 0 2 1 6 5 8 4 9],5828.0,0.4071464538574219,42
50,50,0.15,0.15,[6 1 7 3 9 0 5 2 4 8],5796.0,0.40400099754333496,23
50,100,0.05,0.05,[0 1 9 3 8 7 5 6 4 2],5817.0,0.8400754928588867,43
50,100,0.05,0.1,[8 0 9 2 7 3 5 4 1 6],6103.0,0.8458454608917236,27
50,100,0.05,0.15,[6 1 7 3 9 0 5 2 4 8],5796.0,0.9057672023773193,9
50,100,0.1,0.05,[0 1 9 3 8 7 5 6 4 2],5817.0,0.8116278648376465,50
50,100,0.1,0.1,[7 3 0 4 9 6 2 5 8 1],5948.0,0.8220584392547607,41
50,100,0.1,0.15,[0 1 9 3 8 7 5 6 4 2],5817.0,0.8239860534667969,39
50,100,0.15,0.05,[0 8 3 7 6 9 2 5 4 1],6040.0,0.8074884414672852,88
50,100,0.15,0.1,[7 1 9 3 2 0 5 6 8 4],5888.0,0.8130083084106445,23
50,100,0.15,0.15,[3 6 7 2 1 0 4 8 5 9],5815.0,0.8116488456726074,11
50,200,0.05,0.05,[2 1 9 3 7 8 5 6 4 0],5857.0,1.6987123489379883,39
50,200,0.05,0.1,[1 7 3 9 4 0 5 8 6 2],5946.0,1.7078971862792969,17
50,200,0.05,0.15,[3 6 7 2 1 0 4 8 5 9],5815.0,1.7490262985229492,19
50,200,0.1,0.05,[6 1 7 3 9 0 5 2 4 8],5796.0,1.664588212966919,40
50,200,0.1,0.1,[2 1 9 3 7 8 5 6 4 0],5857.0,1.6275129318237305,34
50,200,0.1,0.15,[2 8 9 3 4 0 5 6 1 7],5928.0,1.648350715637207,16
50,200,0.15,0.05,[3 6 7 2 1 0 4 8 5 9],5815.0,1.5457065105438232,91
50,200,0.15,0.1,[6 1 7 3 9 0 5 2 4 8],5796.0,1.5601251125335693,26
50,200,0.15,0.15,[7 4 9 0 2 1 5 6 8 3],5848.0,1.5551605224609375,18
100,50,0.05,0.05,[0 1 9 3 8 7 5 6 4 2],5817.0,0.8603341579437256,20
100,50,0.05,0.1,[6 1 7 3 9 0 5 2 4 8],5796.0,0.8919277191162109,26
100,50,0.05,0.15,[6 1 7 3 9 0 5 2 4 8],5796.0,0.8881657123565674,16
100,50,0.1,0.05,[6 1 7 3 9 0 5 2 4 8],5796.0,0.8259332180023193,15
100,50,0.1,0.1,[6 1 7 3 9 0 5 2 4 8],5796.0,0.8299126625061035,9
100,50,0.1,0.15,[3 7 0 2 1 6 5 8 4 9],5828.0,0.8508739471435547,19
100,50,0.15,0.05,[0 1 9 3 8 7 5 6 4 2],5817.0,0.7877085208892822,21
100,50,0.15,0.1,[6 1 7 3 9 0 5 2 4 8],5796.0,0.7919723987579346,20
100,50,0.15,0.15,[6 1 7 3 9 0 5 2 4 8],5796.0,0.8004355430603027,23
100,100,0.05,0.05,[9 1 7 3 6 0 5 8 4 2],5798.0,1.750791311264038,18
100,100,0.05,0.1,[3 6 7 2 1 0 4 8 5 9],5815.0,1.7756617069244385,26
100,100,0.05,0.15,[2 1 9 3 7 8 5 6 4 0],5857.0,1.7675180435180664,10
100,100,0.1,0.05,[1 2 3 0 6 9 8 5 4 7],5912.0,1.6472337245941162,17
100,100,0.1,0.1,[3 6 7 2 1 0 4 8 5 9],5815.0,1.6543619632720947,23
100,100,0.1,0.15,[3 6 7 2 1 0 4 8 5 9],5815.0,1.6983704566955566,33
100,100,0.15,0.05,[6 1 7 3 9 0 5 2 4 8],5796.0,1.6030638217926025,27
100,100,0.15,0.1,[0 2 9 7 1 3 8 6 5 4],5955.0,1.6575942039489746,18
100,100,0.15,0.15,[0 1 9 3 8 7 5 6 4 2],5817.0,1.6778898239135742,5
100,200,0.05,0.05,[3 8 9 0 1 2 4 6 5 7],5912.0,3.6064891815185547,44
100,200,0.05,0.1,[6 1 7 3 9 0 5 2 4 8],5796.0,3.5203182697296143,21
100,200,0.05,0.15,[6 1 7 3 9 0 5 2 4 8],5796.0,3.540520429611206,11
100,200,0.1,0.05,[3 6 7 2 1 0 4 8 5 9],5815.0,3.3176608085632324,27
100,200,0.1,0.1,[6 1 7 3 9 0 5 2 4 8],5796.0,3.262557029724121,26
100,200,0.1,0.15,[3 2 9 0 4 1 8 6 5 7],5921.0,3.2613823413848877,15
100,200,0.15,0.05,[7 4 9 0 2 1 5 6 8 3],5848.0,3.1332082748413086,26
100,200,0.15,0.1,[6 1 7 3 9 0 5 2 4 8],5796.0,3.0998713970184326,46
100,200,0.15,0.15,[6 4 0 3 9 7 5 2 1 8],5823.0,3.1957688331604004,34
150,50,0.05,0.05,[3 6 7 2 1 0 4 8 5 9],5815.0,1.4285085201263428,39
150,50,0.05,0.1,[0 1 9 3 8 7 5 6 4 2],5817.0,1.4005353450775146,7
150,50,0.05,0.15,[6 1 7 3 9 0 5 2 4 8],5796.0,1.4268786907196045,21
150,50,0.1,0.05,[3 6 7 2 1 0 4 8 5 9],5815.0,1.3363065719604492,36
150,50,0.1,0.1,[9 1 7 3 6 0 5 8 4 2],5798.0,1.3339126110076904,9
150,50,0.1,0.15,[8 1 0 3 7 9 5 2 4 6],5847.0,1.3385014533996582,25
150,50,0.15,0.05,[6 1 7 3 9 0 5 2 4 8],5796.0,1.2671232223510742,11
150,50,0.15,0.1,[2 1 9 3 7 8 5 6 4 0],5857.0,1.2510247230529785,31
150,50,0.15,0.15,[0 1 9 3 8 7 5 6 4 2],5817.0,1.264225721359253,17
150,100,0.05,0.05,[6 1 7 3 9 0 5 2 4 8],5796.0,2.7982919216156006,39
150,100,0.05,0.1,[8 1 0 3 7 9 5 2 4 6],5847.0,2.827880859375,9
150,100,0.05,0.15,[2 1 9 3 7 8 5 6 4 0],5857.0,2.8168904781341553,6
150,100,0.1,0.05,[3 6 7 2 1 0 4 8 5 9],5815.0,2.649414300918579,37
150,100,0.1,0.1,[3 6 7 2 1 0 4 8 5 9],5815.0,2.671355962753296,39
150,100,0.1,0.15,[9 1 7 3 6 0 5 8 4 2],5798.0,2.673851251602173,9
150,100,0.15,0.05,[3 7 0 2 1 6 5 8 4 9],5828.0,2.5287938117980957,14
150,100,0.15,0.1,[3 6 7 2 1 0 4 8 5 9],5815.0,2.5528314113616943,9
150,100,0.15,0.15,[9 1 7 3 6 0 5 8 4 2],5798.0,2.6031556129455566,11
150,200,0.05,0.05,[9 1 7 3 6 0 5 8 4 2],5798.0,5.650802850723267,7
150,200,0.05,0.1,[3 6 7 2 1 0 4 8 5 9],5815.0,5.633188247680664,19
150,200,0.05,0.15,[3 6 7 2 1 0 4 8 5 9],5815.0,5.642023324966431,15
150,200,0.1,0.05,[7 4 9 0 2 1 5 6 8 3],5848.0,5.2913148403167725,19
150,200,0.1,0.1,[3 6 7 2 1 0 4 8 5 9],5815.0,5.327220916748047,27
150,200,0.1,0.15,[9 1 7 3 6 0 5 8 4 2],5798.0,5.368180990219116,13
150,200,0.15,0.05,[8 1 0 3 7 9 5 2 4 6],5847.0,4.976339340209961,19
150,200,0.15,0.1,[6 1 7 3 9 0 5 2 4 8],5796.0,5.036876440048218,16
150,200,0.15,0.15,[1 7 0 9 4 3 5 2 6 8],5943.0,5.047327518463135,10
